COLUMNA,NOMBRE TABLA,REGISTROS TOTALES,CANTIDAD DE INCOMPLETOS,CANTIDAD DE COMPLETOS,PORCENTAJE DE COMPLETITUD,EXACTO,INEXACTO,PORCENTAJE DE EXACTITUD
ID,xroad-dq-rlm,1416,0,1416,100.0,1416,0,100.0
NUMERO_SADE,xroad-dq-rlm,1416,0,1416,100.0,1416,0,100.0
ESTADO,xroad-dq-rlm,1416,0,1416,100.0,1413,3,99.79
FECHA_REGISTRACION,xroad-dq-rlm,1416,0,1416,100.0,1416,0,100.0
FECHA_MODIFICACION,xroad-dq-rlm,1416,0,1416,100.0,1416,0,100.0
TIPO_DE_PERSONA,xroad-dq-rlm,1416,0,1416,100.0,1416,0,100.0
CUIT,xroad-dq-rlm,1416,0,1416,100.0,1151,265,81.29
TIPO_DOCUMENTO,xroad-dq-rlm,1416,48,1368,96.61,1283,85,93.79
NUMERO_DOCUMENTO,xroad-dq-rlm,1416,48,1368,96.61,1337,31,97.73
APELLIDO,xroad-dq-rlm,1416,1,1415,99.93,1253,162,88.55
SEGUNDO_APELLIDO,xroad-dq-rlm,1416,1375,41,2.9,40,1,97.56
TERCER_APELLIDO,xroad-dq-rlm,1416,1414,2,0.14,2,0,100.0
NOMBRE,xroad-dq-rlm,1416,1,1415,99.93,516,899,36.47
SEGUNDO_NOMBRE,xroad-dq-rlm,1416,1173,243,17.16,242,1,99.59
TERCER_NOMBRE,xroad-dq-rlm,1416,1405,11,0.78,11,0,100.0
RAZON_SOCIAL,xroad-dq-rlm,1416,1416,0,0.0,0,0,0.0
CORREO_ELECTRONICO,xroad-dq-rlm,1416,159,1257,88.77,1257,0,100.0
TELEFONO,xroad-dq-rlm,1416,116,1300,91.81,1247,53,95.92
PAIS,xroad-dq-rlm,1416,0,1416,100.0,1416,0,100.0
PROVINCIA,xroad-dq-rlm,1416,142,1274,89.97,0,1274,0.0
DEPARTAMENTO,xroad-dq-rlm,1416,142,1274,89.97,279,995,21.9
LOCALIDAD,xroad-dq-rlm,1416,142,1274,89.97,0,1274,0.0
CALLE_ALTURA,xroad-dq-rlm,1416,0,1416,100.0,1401,15,98.94
PISO,xroad-dq-rlm,1416,539,877,61.94,0,877,0.0
DEPTO,xroad-dq-rlm,1416,568,848,59.89,609,239,71.82
CODIGO_POSTAL,xroad-dq-rlm,1416,17,1399,98.8,1344,55,96.07
OBSERVACIONES,xroad-dq-rlm,1416,1405,11,0.78,11,0,100.0
NUMERACION_ESPECIAL,xroad-dq-rlm,1416,1099,317,22.39,317,0,100.0
DOCUMENTOS_VINCULADOS,xroad-dq-rlm,1416,0,1416,100.0,1416,0,100.0
EXPEDIENTES,xroad-dq-rlm,1416,464,952,67.23,952,0,100.0
COMBO_NACIONALIDAD,xroad-dq-rlm,1416,0,1416,100.0,1415,1,99.93
FECHA_NACIMIENTO,xroad-dq-rlm,1416,0,1416,100.0,1416,0,100.0
CUIT_CUIL,xroad-dq-rlm,1416,1302,114,8.05,114,0,100.0
TELEFONO_CELULAR,xroad-dq-rlm,1416,40,1376,97.18,1119,257,81.32
CORREO_ELECTRONICO_FFCC,xroad-dq-rlm,1416,1302,114,8.05,114,0,100.0
DOM_CABA_CALLE,xroad-dq-rlm,1416,8,1408,99.44,1380,28,98.01
DOM_CABA_CALLE_BARRIO,xroad-dq-rlm,1416,206,1210,85.45,1,1209,0.08
DOM_CABA_CALLE_COMUNA,xroad-dq-rlm,1416,225,1191,84.11,1189,2,99.83
DOM_CABA_CALLE_CPU,xroad-dq-rlm,1416,889,527,37.22,522,5,99.05
DOM_CABA_CALLE_MANZANA,xroad-dq-rlm,1416,523,893,63.06,789,104,88.35
DOM_CABA_CALLE_PARCELA,xroad-dq-rlm,1416,524,892,62.99,632,260,70.85
DOM_CABA_CALLE_SECCION,xroad-dq-rlm,1416,514,902,63.7,893,9,99.0
DOM_CABA_CP,xroad-dq-rlm,1416,118,1298,91.67,1236,62,95.22
DOM_FUERA_CALLE,xroad-dq-rlm,1416,1236,180,12.71,176,4,97.78
DOM_FUERA_CP,xroad-dq-rlm,1416,1223,193,13.63,189,4,97.93
LOCALIDAD_FFCC,xroad-dq-rlm,1416,1222,194,13.7,112,82,57.73
PROVINCIA_FFCC,xroad-dq-rlm,1416,1250,166,11.72,0,166,0.0
CATEGORIA,xroad-dq-rlm,1416,1302,114,8.05,0,114,0.0
TITULO_EXP_POR,xroad-dq-rlm,1416,311,1105,78.04,165,940,14.93
INSTITUCION_EDUCATIVA,xroad-dq-rlm,1416,1321,95,6.71,95,0,100.0
FECHA_EMISI_TITULO,xroad-dq-rlm,1416,1321,95,6.71,95,0,100.0
TELEFONO_DAT_PROMO,xroad-dq-rlm,1416,1302,114,8.05,114,0,100.0
CORREO_ELECTRONICO2,xroad-dq-rlm,1416,1302,114,8.05,114,0,100.0
AUTORIZO_AL_GOBIERNO,xroad-dq-rlm,1416,1302,114,8.05,114,0,100.0
